Week,Day,Date,Time,Season,Game_type,Home_team,Away_team,Home_Pts,Away_Pts,Home_Yds,Away_Yds,Home_TO,Away_TO,Home_Stadium,Home_Capacity,Home_lat,Home_lon,Home_Surface,Away_Stadium,Away_lat,Away_lon,Away_Surface,Away_Capacity,Location,Stadium,Capacity,lat,lon,Surface,attendance
3,Mon,September 27,8:08PM,1999,Regular,Arizona Cardinals,San Francisco 49ers,10,24,250,322,4,1,Sun Devil Stadium,73379,33.426390000000005,-111.9325,Grass,Candlestick Park,37.713609999999996,-122.38611000000002,Grass,70140,"Tempe, Arizona url:https://en.wikipedia.org/wiki/Tempe,_Arizona",Sun Devil Stadium,73379.0,33.426390000000005,-111.9325,Grass,72100
4,Sun,October 3,1:00PM,1999,Regular,Washington Redskins,Carolina Panthers,38,36,418,483,1,1,FedExField,"80,116",38.907779999999995,-76.86444,Grass,Bank of America Stadium,35.22583,-80.85278000000002,Grass,"73,250","Landover, Maryland url:https://en.wikipedia.org/wiki/Landover,_Maryland",FedExField,80116.0,38.907779999999995,-76.86444,Grass,76831
4,Sun,October 3,1:00PM,1999,Regular,Minnesota Vikings,Tampa Bay Buccaneers,21,14,364,370,1,2,Mall of America Field at the Hubert H. Humphrey Metrodome,64153,44.973890000000004,-93.25806,Turf,Raymond James Stadium,27.97583,-82.50333,Grass,65657,Minneapolis url:https://en.wikipedia.org/wiki/Minneapolis,Mall of America Field at the Hubert H. Humphrey Metrodome,64153.0,44.973890000000004,-93.25806,Turf,64106
4,Sun,October 3,1:00PM,1999,Regular,Cincinnati Bengals,St. Louis Rams,10,38,257,399,1,2,Cinergy Field,60389,39.09667,-84.50833,Turf,Edward Jones Dome,38.63278,-90.18861,Turf,66000,Cincinnati url:https://en.wikipedia.org/wiki/Cincinnati,Cinergy Field,60389.0,39.09667,-84.50833,Turf,45481
4,Sun,October 3,1:01PM,1999,Regular,Pittsburgh Steelers,Jacksonville Jaguars,3,17,216,204,2,1,Three Rivers Stadium,59600,40.44667000000001,-80.01278,Turf,TIAA Bank Field,30.323890000000002,-81.6375,Grass,73000,Pittsburgh url:https://en.wikipedia.org/wiki/Pittsburgh,Three Rivers Stadium,59600.0,40.44667000000001,-80.01278,Turf,57308
4,Sun,October 3,1:02PM,1999,Regular,Chicago Bears,New Orleans Saints,14,10,324,269,5,1,Soldier Field,61500,41.8623,-87.6167,Grass,Mercedes-Benz Superdome,29.95083,-90.08111,Turf,70054,"Chicago, Illinois",Soldier Field,66944.0,41.8623,-87.6167,Grass,66944
4,Sun,October 3,1:02PM,1999,Regular,Cleveland Browns,New England Patriots,7,19,250,451,1,2,FirstEnergy Stadium,67895,41.50611,-81.69944,Grass,Foxboro Stadium,42.0927,-71.2674417,Grass,60292,"Cleveland, Ohio url:https://en.wikipedia.org/wiki/Cleveland",FirstEnergy Stadium,67895.0,41.50611,-81.69944,Grass,72368
4,Sun,October 3,1:02PM,1999,Regular,Atlanta Falcons,Baltimore Ravens,13,19,298,307,3,0,Georgia Dome,71149,33.758,-84.40100000000002,Turf,M&T Bank Stadium,39.278059999999996,-76.62278,Grass,"69,084",Atlanta url:https://en.wikipedia.org/wiki/Atlanta,Georgia Dome,71149.0,33.758,-84.40100000000002,Turf,50712
4,Sun,October 3,1:03PM,1999,Regular,New York Giants,Philadelphia Eagles,16,15,361,174,5,3,Giants Stadium,79469,40.81222,-74.07694000000002,Turf,Veterans Stadium,39.90667,-75.17111,Turf,65352,"East Rutherford, New Jersey",Giants Stadium,79469.0,40.81222,-74.07694000000002,Turf,73274
4,Sun,October 3,1:05PM,1999,Regular,Dallas Cowboys,Arizona Cardinals,35,7,306,208,1,5,Texas Stadium,65675,32.84,-96.911,Turf,Sun Devil Stadium,33.426390000000005,-111.9325,Grass,73379,"Irving, Texas url:https://en.wikipedia.org/wiki/Irving,_Texas",Texas Stadium,65675.0,32.84,-96.911,Turf,64169
4,Sun,October 3,4:15PM,1999,Regular,San Diego Chargers,Kansas City Chiefs,21,14,132,314,2,4,SDCCU Stadium,70561,32.78306,-117.11944,Grass,Arrowhead Stadium,39.04889,-94.48389,Grass,"79,451",San Diego url:https://en.wikipedia.org/wiki/San_Diego,SDCCU Stadium,70561.0,32.78306,-117.11944,Grass,58099
4,Sun,October 3,4:15PM,1999,Regular,Denver Broncos,New York Jets,13,21,326,334,6,2,Mile High Stadium,"76,273",39.746109999999994,-105.02167,Grass,Giants Stadium,40.81222,-74.07694000000002,Turf,79469,"Denver, Colorado url:https://en.wikipedia.org/wiki/Denver",Mile High Stadium,76273.0,39.746109999999994,-105.02167,Grass,74181
4,Sun,October 3,4:18PM,1999,Regular,San Francisco 49ers,Tennessee Titans,24,22,329,392,0,1,Candlestick Park,70140,37.713609999999996,-122.38611000000002,Grass,Nissan Stadium,36.16639,-86.77139,Grass,"67,700","San Francisco, California",Candlestick Park,70140.0,37.713609999999996,-122.38611000000002,Grass,67447
4,Sun,October 3,8:24PM,1999,Regular,Seattle Seahawks,Oakland Raiders,22,21,276,383,1,1,Kingdome,66400,47.595279999999995,-122.33138999999998,Turf,RingCentral Coliseum,37.751670000000004,-122.20056000000001,Grass,63132,Seattle url:https://en.wikipedia.org/wiki/Seattle,Kingdome,66400.0,47.595279999999995,-122.33138999999998,Turf,66400
4,Mon,October 4,9:07PM,1999,Regular,Miami Dolphins,Buffalo Bills,18,23,292,250,3,1,Hard Rock Stadium,75192,25.95806,-80.23889,Grass,Bills Stadium,42.773999999999994,-78.78699999999998,Turf,75339,"Miami Gardens, Florida url:https://en.wikipedia.org/wiki/Miami_Gardens,_Florida",Hard Rock Stadium,75192.0,25.95806,-80.23889,Grass,74073
5,Sun,October 10,1:00PM,1999,Regular,Minnesota Vikings,Chicago Bears,22,24,445,379,5,0,Mall of America Field at the Hubert H. Humphrey Metrodome,64153,44.973890000000004,-93.25806,Turf,Soldier Field,41.8623,-87.6167,Grass,61500,Minneapolis url:https://en.wikipedia.org/wiki/Minneapolis,Mall of America Field at the Hubert H. Humphrey Metrodome,64153.0,44.973890000000004,-93.25806,Turf,64107
5,Sun,October 10,1:01PM,1999,Regular,Detroit Lions,San Diego Chargers,10,20,229,256,3,2,Pontiac Silverdome,80311,42.64583,-83.255,Turf,SDCCU Stadium,32.78306,-117.11944,Grass,70561,"Pontiac, Michigan url:https://en.wikipedia.org/wiki/Pontiac,_Michigan",Pontiac Silverdome,80311.0,42.64583,-83.255,Turf,61481
5,Sun,October 10,1:01PM,1999,Regular,Kansas City Chiefs,New England Patriots,16,14,329,378,2,4,Arrowhead Stadium,"79,451",39.04889,-94.48389,Grass,Foxboro Stadium,42.0927,-71.2674417,Grass,60292,"Kansas City, Missouri url:https://en.wikipedia.org/wiki/Kansas_City,_Missouri",Arrowhead Stadium,79451.0,39.04889,-94.48389,Grass,78636
5,Sun,October 10,1:01PM,1999,Regular,Buffalo Bills,Pittsburgh Steelers,24,21,365,255,1,1,Bills Stadium,75339,42.773999999999994,-78.78699999999998,Turf,Three Rivers Stadium,40.44667000000001,-80.01278,Turf,59600,"Orchard Park, New York url:https://en.wikipedia.org/wiki/Orchard_Park_(town),_New_York",Bills Stadium,75339.0,42.773999999999994,-78.78699999999998,Turf,71038
5,Sun,October 10,1:02PM,1999,Regular,St. Louis Rams,San Francisco 49ers,42,20,423,305,2,3,Edward Jones Dome,66000,38.63278,-90.18861,Turf,Candlestick Park,37.713609999999996,-122.38611000000002,Grass,70140,"St. Louis, Missouri",Edward Jones Dome,66000.0,38.63278,-90.18861,Turf,65872
5,Sun,October 10,1:02PM,1999,Regular,Cleveland Browns,Cincinnati Bengals,17,18,224,419,1,1,FirstEnergy Stadium,67895,41.50611,-81.69944,Grass,Cinergy Field,39.09667,-84.50833,Turf,60389,"Cleveland, Ohio url:https://en.wikipedia.org/wiki/Cleveland",FirstEnergy Stadium,67895.0,41.50611,-81.69944,Grass,73048
5,Sun,October 10,1:03PM,1999,Regular,Philadelphia Eagles,Dallas Cowboys,13,10,244,300,1,3,Veterans Stadium,65352,39.90667,-75.17111,Turf,Texas Stadium,32.84,-96.911,Turf,65675,Philadelphia url:https://en.wikipedia.org/wiki/Philadelphia,Veterans Stadium,65352.0,39.90667,-75.17111,Turf,66669
5,Sun,October 10,1:03PM,1999,Regular,New Orleans Saints,Atlanta Falcons,17,20,390,251,2,2,Mercedes-Benz Superdome,70054,29.95083,-90.08111,Turf,Georgia Dome,33.758,-84.40100000000002,Turf,71149,New Orleans url:https://en.wikipedia.org/wiki/New_Orleans,Mercedes-Benz Superdome,70054.0,29.95083,-90.08111,Turf,57289
