Home_team,Season,attendance,Week
Los Angeles Raiders,1992,43103,5
Kansas City Chiefs,1992,75629,5
Indianapolis Colts,1992,56585,5
Houston Oilers,1992,Bye,5
Green Bay Packers,1992,63769,5
Detroit Lions,1992,66971,5
Denver Broncos,1992,75629,5
Dallas Cowboys,1992,66572,5
Chicago Bears,1992,60992,5
Cleveland Browns,1992,Bye,5
Atlanta Falcons,1992,63769,5
Cincinnati Bengals,1992,Bye,5
Buffalo Bills,1992,52287,6
Washington Redskins,1992,56371,6
Tampa Bay Buccaneers,1992,Bye,6
Seattle Seahawks,1992,62331,6
San Francisco 49ers,1992,54126,6
San Diego Chargers,1992,Bye,6
Pittsburgh Steelers,1992,78080,6
Phoenix Cardinals,1992,70042,6
Philadelphia Eagles,1992,76626,6
New York Jets,1992,48393,6
New York Giants,1992,70042,6
New Orleans Saints,1992,68591,6
New England Patriots,1992,54126,6
Minnesota Vikings,1992,Bye,6
Miami Dolphins,1992,68633,6
Los Angeles Rams,1992,68591,6
Los Angeles Raiders,1992,52287,6
Kansas City Chiefs,1992,76626,6
Indianapolis Colts,1992,48393,6
Houston Oilers,1992,54254,6
Green Bay Packers,1992,Bye,6
Detroit Lions,1992,Bye,6
Denver Broncos,1992,56371,6
Dallas Cowboys,1992,62331,6
Chicago Bears,1992,Bye,6
Cleveland Browns,1992,78080,6
Atlanta Falcons,1992,68633,6
Cincinnati Bengals,1992,54254,6
Buffalo Bills,1992,Bye,7
Washington Redskins,1992,56380,7
Tampa Bay Buccaneers,1992,61412,7
Seattle Seahawks,1992,56904,7
San Francisco 49ers,1992,63302,7
San Diego Chargers,1992,48552,7
Pittsburgh Steelers,1992,55411,7
Phoenix Cardinals,1992,27735,7
Philadelphia Eagles,1992,56380,7
New York Jets,1992,Bye,7
New York Giants,1992,53541,7
New Orleans Saints,1992,27735,7
New England Patriots,1992,57282,7
Minnesota Vikings,1992,52816,7
Miami Dolphins,1992,57282,7
Los Angeles Rams,1992,53541,7
Los Angeles Raiders,1992,56904,7
Kansas City Chiefs,1992,64115,7
Indianapolis Colts,1992,48552,7
Houston Oilers,1992,75804,7
Green Bay Packers,1992,69268,7
Detroit Lions,1992,52816,7
Denver Broncos,1992,75804,7
Dallas Cowboys,1992,64115,7
Chicago Bears,1992,61412,7
Cleveland Browns,1992,69268,7
Atlanta Falcons,1992,63302,7
Cincinnati Bengals,1992,55411,7
Buffalo Bills,1992,68181,8
Washington Redskins,1992,59098,8
Tampa Bay Buccaneers,1992,53995,8
Seattle Seahawks,1992,67339,8
San Francisco 49ers,1992,Bye,8
San Diego Chargers,1992,53576,8
Pittsburgh Steelers,1992,76175,8
Phoenix Cardinals,1992,64676,8
Philadelphia Eagles,1992,64676,8
New York Jets,1992,68181,8
New York Giants,1992,67339,8
New Orleans Saints,1992,Bye,8
New England Patriots,1992,32219,8
Minnesota Vikings,1992,59098,8
Miami Dolphins,1992,61117,8
Los Angeles Rams,1992,Bye,8
Los Angeles Raiders,1992,91505,8
Kansas City Chiefs,1992,76175,8
Indianapolis Colts,1992,61117,8
Houston Oilers,1992,58701,8
Green Bay Packers,1992,59435,8
Detroit Lions,1992,53995,8
Denver Broncos,1992,53576,8
Dallas Cowboys,1992,91505,8
Chicago Bears,1992,59435,8
Cleveland Browns,1992,32219,8
Atlanta Falcons,1992,Bye,8
Cincinnati Bengals,1992,58701,8
Buffalo Bills,1992,78268,9
Washington Redskins,1992,53647,9
Tampa Bay Buccaneers,1992,68591,9
Seattle Seahawks,1992,Bye,9
San Francisco 49ers,1992,47642,9
San Diego Chargers,1992,40324,9
Pittsburgh Steelers,1992,58074,9
Phoenix Cardinals,1992,47642,9
Philadelphia Eagles,1992,65012,9
New York Jets,1992,69313,9
New York Giants,1992,53647,9
New Orleans Saints,1992,68591,9
New England Patriots,1992,78268,9
Minnesota Vikings,1992,61257,9
Miami Dolphins,1992,69313,9
Los Angeles Rams,1992,62168,9
Los Angeles Raiders,1992,Bye,9
Kansas City Chiefs,1992,Bye,9
Indianapolis Colts,1992,40324,9
Houston Oilers,1992,58074,9
Green Bay Packers,1992,60594,9
